job_no,rev_alloc,actual_cost,actual_hours,billable_value,unallocated_revenue_amt,unquoted_hours,dept_mismatch_hours,quoted_time_total,quoted_amount_total,gp,margin,rev_per_hour,cost_per_hour,unquoted_share,dept_mismatch_share,quote_attainment_total
SG01104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,10600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,19250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,53600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.3333,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,9510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,13100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,7069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8333,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,18027.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18027.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.65,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
